54391.7096281,1.8963441
54391.7501499,1.8826443
54396.4815797,1.8703463
54393.4984489,1.8731233
54397.2251121,1.8717683
54396.9265917,1.872006
54390.4409177,1.8795504
54387.3250123,1.8796393
54392.5752809,1.8842885
54391.5984759,1.8782726
54392.4292935,1.8936019
54394.6263146,1.880482
54389.2080506,1.8912924
54389.9031008,1.8899797
54393.7470333,1.8689378
54391.0284642,1.8638937
54394.3026039,1.8719797
54392.254045,1.8825055
54387.9064789,1.8936766
54389.6950485,1.8831332
54391.4785323,1.8814067
54390.4254461,1.8857756
54394.2285252,1.8984247
54395.1949418,1.8726502
54388.949772,1.8823277
54389.3476849,1.8768256
54387.8743745,1.8822098
54388.1266925,1.8760893
54391.4951656,1.8709399
54392.9685493,1.8771692
