20380.103819,1.897854
20379.644428,1.894518
20379.084021,1.906734
20379.606088,1.929637
20379.699839,1.908553
20380.195663,1.917412
20379.237762,1.898160
20379.856736,1.927037
20380.103819,1.915508
20379.578327,1.937153
20379.587941,1.941387
20379.580822,1.930155
20380.103819,1.947859
20380.655188,1.947794
20379.887544,1.900816
20379.519613,1.901934
20380.379682,1.945029
20379.642218,1.900610
20379.233463,1.910606
20379.867004,1.907850
20379.642218,1.874455
20380.479733,1.906684
20378.971202,1.942623
20379.480556,1.930497
20380.071649,1.921927
20379.632814,1.897146
20379.960724,1.912344
20379.109427,1.942510
20380.243432,1.892906
20379.642218,1.947059
20379.523196,1.899067
20379.070783,1.972832
20380.156859,1.949802
20379.453941,1.913157
20379.440835,1.947152
20379.491338,1.976550
20379.144006,1.900783
20380.194132,1.920181
20378.921818,1.905392
20378.965553,1.923225
20380.309593,1.948506
20379.109427,1.910246
20379.237762,1.868357
20380.479733,1.938857
20379.578327,1.935021
20379.232140,1.950184
20379.776911,1.910776
20380.412671,1.939070
20379.237762,1.929577
20379.237762,1.928729
