rep, RING, TREE, NETA, NETB, TORUS, GRAPH, SAME, GOODBAD, RAND, SSO
26, 4.9069122725167486e-05, 4.906947964967043e-05, 4.906950104792129e-05, 4.906985771788015e-05, 4.906859751236733e-05, 4.906746348699746e-05, 4.9070617201938086e-05, 4.906647072422995e-05, 4.906827334533357e-05, 4.907261385792584e-05
27, 4.906866186137052e-05, 4.90701905453333e-05, 4.906954870827616e-05, 4.907020414747153e-05, 4.906780800722411e-05, 4.906736481587046e-05, 4.906765758976505e-05, 4.906954870827616e-05, 4.906866186137052e-05, 4.907261385792584e-05
28, 4.906746348699746e-05, 4.907020414747153e-05, 4.907004405013242e-05, 4.906961815955215e-05, 4.906985771788015e-05, 4.906894055570719e-05, 4.906954870827616e-05, 4.906848007093576e-05, 4.906804415065124e-05, 4.907312653066133e-05
29, 4.906759076835365e-05, 4.906954607171274e-05, 4.906887470112645e-05, 4.9069918891817306e-05, 4.906712735481128e-05, 4.906927848246502e-05, 4.906746348699746e-05, 4.906868317463739e-05, 4.906995076704818e-05, 4.907261385792584e-05
30, 4.9067465564770136e-05, 4.906866186137052e-05, 4.9066807805625255e-05, 4.90699679712144e-05, 4.9068574870110606e-05, 4.9065961681381506e-05, 4.906893969854432e-05, 4.907036383169641e-05, 4.906961815955215e-05, 4.907290546871526e-05
31, 4.9068574870110606e-05, 4.906821275816011e-05, 4.9068574870110606e-05, 4.906971465342602e-05, 4.9068861444033957e-05, 4.906926409108396e-05, 4.906974268307134e-05, 4.906961815955215e-05, 4.906878944028126e-05, 4.907273144196081e-05
32, 4.9067676846037506e-05, 4.906878944028126e-05, 4.90708998795694e-05, 4.906973005395564e-05, 4.906995076704818e-05, 4.906767957870555e-05, 4.906932818420099e-05, 4.9069758904692405e-05, 4.906746348699746e-05, 4.907312653066133e-05
33, 4.906950104792129e-05, 4.906961815955215e-05, 4.9069107344281305e-05, 4.906985771788015e-05, 4.90673357873786e-05, 4.906772353256926e-05, 4.9070435189934656e-05, 4.906961815955215e-05, 4.906754094012557e-05, 4.907273144196081e-05
34, 4.906786333026319e-05, 4.9068574870110606e-05, 4.907051200953139e-05, 4.907098567509246e-05, 4.906902819354594e-05, 4.906932787359492e-05, 4.906923761019437e-05, 4.9068861444033957e-05, 4.9066884931662895e-05, 4.907290546871526e-05
35, 4.906866186137052e-05, 4.906810741233974e-05, 4.906986017148038e-05, 4.907020414747153e-05, 4.906905974979367e-05, 4.906754094012557e-05, 4.9068093625972716e-05, 4.906994351698259e-05, 4.9068938150354146e-05, 4.907345577570345e-05
36, 4.906746050396145e-05, 4.906841438131527e-05, 4.907070591248079e-05, 4.906954870827616e-05, 4.9068938150354146e-05, 4.9067242362912545e-05, 4.9068496525270625e-05, 4.906940395293592e-05, 4.906870555455064e-05, 4.907348399505488e-05
37, 4.9065552906249416e-05, 4.9069918891817306e-05, 4.906898115059001e-05, 4.9070780568185645e-05, 4.9069774456943895e-05, 4.9067132357769225e-05, 4.9068787663364706e-05, 4.9069100441184775e-05, 4.9065961681381506e-05, 4.907345577570345e-05
38, 4.906841438131527e-05, 4.9068941314151895e-05, 4.906985771788015e-05, 4.9069918891817306e-05, 4.906724604893965e-05, 4.906891581356838e-05, 4.906898115059001e-05, 4.90682625708988e-05, 4.906609249635135e-05, 4.907345577570345e-05
39, 4.9067984199667866e-05, 4.906807072896741e-05, 4.906993544824721e-05, 4.906984364158761e-05, 4.907030945654517e-05, 4.906878442013116e-05, 4.9069391167487243e-05, 4.906895960832681e-05, 4.9067984199667866e-05, 4.907261385792584e-05
40, 4.906689913867383e-05, 4.906940812084916e-05, 4.9069559059499155e-05, 4.907070591248079e-05, 4.907020414747153e-05, 4.906993656790147e-05, 4.906985771788015e-05, 4.906960856436174e-05, 4.906746348699746e-05, 4.907345577570345e-05
