rep, RING, TREE, NETA, NETB, TORUS, GRAPH, SAME, GOODBAD, RAND, SSO
13, 4.956990087851581e-05, 4.956908645876156e-05, 4.957142993235553e-05, 4.95667636822277e-05, 4.9478791146350454e-05, 4.9555992156224435e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.945860434026794e-05, 4.957142981686117e-05
14, 4.943151636311835e-05, 4.956186445971837e-05, 4.955750441546251e-05, 4.9563641646898875e-05, 4.9474347613199186e-05, 4.9558052959583715e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.947068436592481e-05, 4.9563694283549624e-05
15, 4.9422227331171386e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.947946182389746e-05, 4.9472905307230396e-05, 4.956569969620692e-05, 4.957142993235553e-05, 4.92907885073123e-05, 4.9568372744561844e-05
16, 4.894407679440687e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.956990087851581e-05, 4.955655226585373e-05, 4.955815786295996e-05, 4.956990087851581e-05, 4.957142993235553e-05, 4.897323585911118e-05, 4.9569812449857024e-05
17, 4.956317918025011e-05, 4.956114471199504e-05, 4.956317918025011e-05, 4.955826163455447e-05, 4.9553288756791046e-05, 4.947066179648621e-05, 4.956317918025011e-05, 4.956594669011897e-05, 4.956317918025011e-05, 4.956871826591077e-05
18, 4.956906700349628e-05, 4.957142993235553e-05, 4.9565984605681116e-05, 4.957142993235553e-05, 4.955906694263903e-05, 4.94774841107321e-05, 4.957142993235553e-05, 4.956910693373709e-05, 4.957142993235553e-05, 4.956906859077802e-05
19, 4.956250908566287e-05, 4.9555458991380706e-05, 4.955181005468846e-05, 4.955181005468846e-05, 4.946261760279631e-05, 4.947099004899727e-05, 4.957142993235553e-05, 4.9570010955289174e-05, 4.899333240435475e-05, 4.956989883414623e-05
20, 4.957142993235553e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.947752205509343e-05, 4.947751418224567e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.900673488854502e-05, 4.957048433914726e-05
21, 4.9562505759640213e-05, 4.957142993235553e-05, 4.9570010955289174e-05, 4.956317918025011e-05, 4.955725587249319e-05, 4.947204567252291e-05, 4.956910693373709e-05, 4.957142993235553e-05, 4.900658922349176e-05, 4.956989883414623e-05
22, 4.957142993235553e-05, 4.955987434254434e-05, 4.956990087851581e-05, 4.957142993235553e-05, 4.956037347305397e-05, 4.9558488385302105e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.8996764369901334e-05, 4.9561880718492387e-05
