rep, RING, TREE, NETA, NETB, TORUS, GRAPH, SAME, GOODBAD, RAND, SSO
1, 1.209093349261123, 1.1697972390445563, 1.2175522329907953, 1.155756708589815, 1.1412268188302426, 1.162664967625594, 1.215407969916222, 1.1454570029804791, 1.1866253088192367, 0.06554830766068315
2, 1.170198325212157, 1.1828846060580251, 1.2407640625096934, 1.2196966370524323, 1.2080694205011797, 1.2104881535576852, 1.2027890271962627, 1.1764761245935276, 1.1945861356333098, 0.06416888428983365
3, 1.1929487187134287, 1.173775048359532, 1.1816071038219083, 1.194216647618911, 1.2012257307356426, 1.189131339556454, 1.2001171314320278, 1.1741981694250538, 1.174213335775697, 0.0670220084190366
4, 1.1830371402679816, 1.2223877878570442, 1.2160154093472673, 1.158463969453622, 1.2097691276596774, 1.1610720410369302, 1.222033757460516, 1.1515006356283508, 1.1966045150281561, 0.06571809604949466
5, 1.2228825788147821, 1.116774398170277, 1.204540636382909, 1.1490620780787681, 1.1887793494761643, 1.1542719025979198, 1.223933280948989, 1.1811688610815492, 1.1932334119674153, 0.06413332754423164
6, 1.22731010444409, 1.1764858133458198, 1.1579341066017297, 1.177712035274831, 1.1477419325219562, 1.1769524464133552, 1.2497328695991232, 1.1830847277958658, 1.2060049397962334, 0.06443587103701673
7, 1.2217187383554933, 1.1804661188516898, 1.18754690810287, 1.1708614730374018, 1.1559357299734134, 1.1712372247299714, 1.161066648708836, 1.1888245734794636, 1.1838284301132804, 0.06540105167507136
8, 1.2125562626105852, 1.1440390986802365, 1.189144065992739, 1.1826467871626056, 1.1953400862079269, 1.197203333014079, 1.2072045970351055, 1.1777161963064464, 1.223469073148769, 0.06653408198369502
9, 1.2192832077878055, 1.1642582045275673, 1.2105775423338967, 1.17996049492263, 1.1216307613966097, 1.1748258320703955, 1.2008867347649506, 1.1889772298970702, 1.2128033221108598, 0.06419495957868078
10, 1.1744326022490386, 1.1963997937406756, 1.2264115076644588, 1.1763847813453607, 1.1798045771698376, 1.1972477668336028, 1.1930839310683827, 1.1607135602683105, 1.2116350894368442, 0.06532989933250483
11, 1.1815372981786603, 1.1602125973563395, 1.231060139749947, 1.1845885035685728, 1.1745319196667148, 1.1972449000360372, 1.177149180115596, 1.1339359825101714, 1.196302468330883, 0.06243486872538154
12, 1.1963239358100428, 1.1629394457430602, 1.2010655853873557, 1.1210888014439624, 1.145401898618187, 1.2072177132640634, 1.180064927172293, 1.2106200432675605, 1.2010064433995689, 0.06581293686216158
13, 1.2226523241398028, 1.2364439377771952, 1.1996405876799312, 1.1805887596144198, 1.1813907331710891, 1.1900709996358383, 1.2192460426321572, 1.2037648950858706, 1.18827081642523, 0.06497773083208923
14, 1.1405187535498647, 1.1474021667542516, 1.1955916145986518, 1.1315109971553814, 1.1520113542239072, 1.1797238502411356, 1.1714457749465235, 1.1630936429953849, 1.2250848371249707, 0.06473616097863467
15, 1.1697712395363964, 1.1661685183479125, 1.18505035278949, 1.1534464402912683, 1.2070166290680986, 1.2040228812508353, 1.250759836600735, 1.1875892176399752, 1.1812065315996372, 0.06365554305148505
16, 1.1644629205894512, 1.1569186628334094, 1.1974556462428632, 1.1456643478420268, 1.1796375681535605, 1.152065769130628, 1.2074494803137437, 1.2138220342686237, 1.2432800712150824, 0.06243826416630556
17, 1.1943036493142307, 1.1607836218074097, 1.214377746770666, 1.1785406602420487, 1.1514953318379249, 1.1905158743386683, 1.2263814266985689, 1.1921423513338882, 1.158937902948222, 0.06411568726855439
18, 1.1807407022573402, 1.2006372982779259, 1.1975130049912341, 1.1137990795564408, 1.148259869580644, 1.1500082225587913, 1.2179392711120638, 1.1683334891111319, 1.1918752249664486, 0.06492082029533909
19, 1.2522446485324945, 1.1484115171894236, 1.2090451082639442, 1.1696549400961223, 1.1512673150604185, 1.1833927396488637, 1.2074844717496933, 1.231313281806977, 1.1624730451562655, 0.06569748423966626
20, 1.1779256728900407, 1.1634292309267413, 1.163262765936409, 1.165103292232373, 1.1917814749487534, 1.1906477004425637, 1.218270153843155, 1.1718054240529467, 1.2208044613078235, 0.0653581272439079
21, 1.1587874911207907, 1.1895330606923558, 1.178347626690045, 1.1499037530558691, 1.1860693779421934, 1.1940526624986267, 1.1673269846309728, 1.2313875767770153, 1.1765467177287943, 0.06260547457328734
22, 1.2115073817144768, 1.1425280947658503, 1.2205139095867705, 1.1926115330305689, 1.190541386790229, 1.1879814294742945, 1.2088551054182095, 1.1931650731947114, 1.1441137065966165, 0.06273674494915876
23, 1.2047089664078952, 1.1755232547887877, 1.1643747889570695, 1.1675464128887785, 1.1395868541818848, 1.1877457891442411, 1.2715382688515087, 1.168034629890707, 1.1938516639307566, 0.06344777090532673
24, 1.2130063391711285, 1.1842111495848155, 1.1251644146500908, 1.1966259933491528, 1.2025604917991386, 1.136348140707172, 1.1803393239488489, 1.2168025835152454, 1.166091006406504, 0.06324002688965943
25, 1.2151140749093525, 1.2024751749000142, 1.2087966550178961, 1.1483073375690562, 1.1504818793351594, 1.1427252397151872, 1.1834025426587031, 1.2083949614763687, 1.2121755763591822, 0.06277036766612994
26, 1.1804521840136082, 1.1390611402457638, 1.2038547428867232, 1.1413088758449965, 1.1349629888569333, 1.1651060071700623, 1.2314179038311874, 1.166093725949317, 1.2303270701483282, 0.062162983385575105
27, 1.1572051643752075, 1.1514104778353482, 1.1989473242493092, 1.188688911790962, 1.1519874663763658, 1.2020270984989085, 1.2023002408207382, 1.1799702411505182, 1.2160760388025542, 0.06522751716739332
28, 1.1989185754449487, 1.1688510544789787, 1.2227435185422941, 1.173788825999892, 1.1929046034188646, 1.1939571441022696, 1.211322473423585, 1.1814479589895783, 1.197457080144605, 0.06516926805006251
29, 1.2374598908312884, 1.1317030773270078, 1.1981156037783773, 1.1657090366930234, 1.1509493029851021, 1.209281964647851, 1.1933359348056711, 1.235249576000583, 1.213994442333443, 0.06388939876178512
30, 1.2589289536034325, 1.1874397374333252, 1.16914076337877, 1.1413896418889997, 1.1614752594154991, 1.1684549870243073, 1.2074465644522903, 1.2360847756382525, 1.177316871303961, 0.06449616850836551
31, 1.1891907319231116, 1.1369993223484038, 1.2234136912226183, 1.1380733328932784, 1.198104120040448, 1.197710934861293, 1.2365693115647671, 1.200003360009408, 1.2552863245341948, 0.06495237432105283
32, 1.2090144114517845, 1.1082604190332646, 1.17932872608911, 1.1492443144010656, 1.1675845827461355, 1.167922767603224, 1.1735560273250787, 1.219507733508292, 1.2021730480015678, 0.065853646329568
33, 1.2304133573674076, 1.1557553728177894, 1.2140755057838557, 1.1029967318206837, 1.1943136339261509, 1.1593853402680034, 1.2306404868413765, 1.186557724846756, 1.1986498408193011, 0.06450368606314008
34, 1.2053638692180202, 1.1765051913291567, 1.135807348900709, 1.1361583532066366, 1.1703613022376138, 1.172585880189865, 1.16702591614452, 1.2013584961874888, 1.220531785699029, 0.0642332334399498
35, 1.207752806817523, 1.1752538548326439, 1.1797405514579233, 1.1656112057198873, 1.1097227246800114, 1.179693232571802, 1.1744008793913785, 1.1888655607046643, 1.2170913707004727, 0.06586286311266705
36, 1.2334943043400497, 1.1470612863374676, 1.2749134015072026, 1.1459334831450374, 1.198501872659176, 1.2141285713591925, 1.1926143776818916, 1.1683908220564145, 1.1824230449521769, 0.06364630171707539
37, 1.181959049846759, 1.1773030107169893, 1.1949472849005267, 1.1805093189405638, 1.1707024683090843, 1.1482282264351993, 1.197520175221152, 1.2126768385999889, 1.1868590960881125, 0.061459464379538746
38, 1.2357456736543966, 1.1391351002837586, 1.237026682665545, 1.157809424568716, 1.2221681752295843, 1.1925930431277423, 1.1775719643666724, 1.2087367492233867, 1.1950758096339842, 0.06450684836955715
39, 1.224591262051509, 1.1505626251236853, 1.1722793447896287, 1.205147425684584, 1.1700148591887118, 1.1600578172816134, 1.236526498144592, 1.2069175687369729, 1.223407704287677, 0.06586126246029225
40, 1.229916992902149, 1.1426012001883008, 1.1461593918019803, 1.1670218303103577, 1.1804048080248641, 1.170468152146814, 1.186602779972993, 1.2032695239504783, 1.207872429345502, 0.0642716190605713
