rep, RING, TREE, NETA, NETB, TORUS, GRAPH, SAME, GOODBAD, RAND
1, 2.026057591256151e-05, 2.026057756642963e-05, 2.026057780287245e-05, 2.026057631279018e-05, 2.0260566855904033e-05, 2.026057195666113e-05, 2.0260586945332414e-05, 2.0260578705131737e-05, 2.0260574079719647e-05
2, 2.0260574025124362e-05, 2.0260575091990162e-05, 2.0260579855738213e-05, 2.026058301775162e-05, 2.0260568292210635e-05, 2.026057223456339e-05, 2.0260580474758805e-05, 2.026057801427532e-05, 2.0260582327715893e-05
3, 2.0260577682188092e-05, 2.0260578790513875e-05, 2.0260581883153937e-05, 2.0260575764784776e-05, 2.026055722128446e-05, 2.026056888660108e-05, 2.026058170910568e-05, 2.026057068660275e-05, 2.0260587293839604e-05
4, 2.026057808529027e-05, 2.0260583980353586e-05, 2.0260576880909676e-05, 2.0260585746287156e-05, 2.0260572866308727e-05, 2.0260586348067467e-05, 2.0260584732784096e-05, 2.0260574025124362e-05, 2.0260583703271985e-05
5, 2.0260573830551695e-05, 2.0260584957322837e-05, 2.02605795523853e-05, 2.0260582421718376e-05, 2.0260571064254223e-05, 2.026057277476928e-05, 2.0260585542683455e-05, 2.0260574793152788e-05, 2.026058410473244e-05
6, 2.0260562221877055e-05, 2.0260570011345527e-05, 2.026058352060338e-05, 2.026057757094503e-05, 2.0260569253579732e-05, 2.026057733696516e-05, 2.026057228176983e-05, 2.026058223248194e-05, 2.0260577719953263e-05
7, 2.026057277476928e-05, 2.026058301775162e-05, 2.0260574765239407e-05, 2.026058465971665e-05, 2.0260569943614563e-05, 2.02605738079747e-05, 2.0260582663087208e-05, 2.0260573830551695e-05, 2.026057078388905e-05
8, 2.0260565236929354e-05, 2.026057823799293e-05, 2.026058405342103e-05, 2.0260578426818808e-05, 2.0260572849478606e-05, 2.0260582092914935e-05, 2.0260574974179273e-05, 2.0260573176229297e-05, 2.0260574025124362e-05
9, 2.0260581240324774e-05, 2.0260575503302056e-05, 2.026058603937797e-05, 2.026058497989986e-05, 2.026057835621435e-05, 2.026057850234916e-05, 2.0260588126726684e-05, 2.0260574773449226e-05, 2.0260584820629233e-05
10, 2.0260573914291832e-05, 2.0260578287662347e-05, 2.0260579108644443e-05, 2.026057857008018e-05, 2.0260574025124362e-05, 2.026057607347396e-05, 2.0260576477397054e-05, 2.0260574025124362e-05, 2.0260584800104672e-05
11, 2.0260571650024523e-05, 2.0260579315942435e-05, 2.0260581179572084e-05, 2.0260582347829964e-05, 2.026056948017058e-05, 2.0260570428404086e-05, 2.026058209209395e-05, 2.0260575733997954e-05, 2.026057535183091e-05
12, 2.02605807247479e-05, 2.0260576477397054e-05, 2.0260583738163742e-05, 2.0260586098078235e-05, 2.0260576309916743e-05, 2.0260569476476164e-05, 2.0260579297880826e-05, 2.0260576487248837e-05, 2.0260582706188784e-05
13, 2.0260572666399706e-05, 2.0260585951943313e-05, 2.026058352060338e-05, 2.026058548603565e-05, 2.0260583239416882e-05, 2.0260582327715893e-05, 2.0260577640318006e-05, 2.0260572023981617e-05, 2.0260583980353586e-05
14, 2.026057049326162e-05, 2.0260572262887253e-05, 2.0260582100303776e-05, 2.0260576573041446e-05, 2.0260572304757312e-05, 2.0260576128479744e-05, 2.0260578003192064e-05, 2.026056813745567e-05, 2.026057143205393e-05
