rep, RING, TREE, NETA, NETB, TORUS, GRAPH, SAME, GOODBAD, RAND
1, 5.643688926250978e-05, 5.6790100007526827e-05, 5.683389576066591e-05, 5.6803737079690365e-05, 5.647624555197036e-05, 5.6496098762886706e-05, 5.67904688760531e-05, 5.674684294694813e-05, 5.645177021700967e-05
2, 5.6406671824982725e-05, 5.6789447822493255e-05, 5.682028678058884e-05, 5.6833042806380046e-05, 5.6461690809156705e-05, 5.6483642844340125e-05, 5.682614037080088e-05, 5.677676481670978e-05, 5.634798728688657e-05
3, 5.6432818695687914e-05, 5.677522072802478e-05, 5.682099213602589e-05, 5.681915299309763e-05, 5.648108586572973e-05, 5.643074635551224e-05, 5.6763076939078174e-05, 5.6780368148057404e-05, 5.6463751834859775e-05
4, 5.640484319175291e-05, 5.678524255417583e-05, 5.683294886213789e-05, 5.681231687934809e-05, 5.643508105953175e-05, 5.666443066726669e-05, 5.67917607196412e-05, 5.6770983035754456e-05, 5.6388136261647984e-05
5, 5.6367596774762634e-05, 5.679731036209554e-05, 5.681919042015068e-05, 5.681068320502796e-05, 5.65561455568194e-05, 5.650780864020146e-05, 5.680564647098875e-05, 5.678625247003986e-05, 5.64633155487465e-05
6, 5.6405091903925855e-05, 5.677986681244871e-05, 5.681814350790289e-05, 5.681627103856383e-05, 5.647769277502975e-05, 5.648561576845947e-05, 5.678588730979811e-05, 5.675843917507067e-05, 5.639782285339066e-05
7, 5.643228119975117e-05, 5.679077532570831e-05, 5.68162126941494e-05, 5.6814609677072847e-05, 5.647136825875764e-05, 5.647640673078478e-05, 5.678203759284984e-05, 5.676293161224671e-05, 5.6478610200873496e-05
8, 5.6443580313072906e-05, 5.680866042847282e-05, 5.684890613896987e-05, 5.6834625470362106e-05, 5.644732478022952e-05, 5.640968845986689e-05, 5.680823184991782e-05, 5.678085891113283e-05, 5.6441214614450855e-05
9, 5.643571356274538e-05, 5.6804659304429994e-05, 5.682333519102226e-05, 5.683570773191616e-05, 5.6510153403550814e-05, 5.64581079295598e-05, 5.68477332434425e-05, 5.675735960290421e-05, 5.645335503600673e-05
10, 5.644203293325117e-05, 5.6819233229037434e-05, 5.6822925260382396e-05, 5.682510288324666e-05, 5.6519593772226976e-05, 5.64821228533495e-05, 5.6812500800516546e-05, 5.679449453834471e-05, 5.6442498266365273e-05
11, 5.640134091435639e-05, 5.681493011250046e-05, 5.682507634657839e-05, 5.682865910818303e-05, 5.6514473254054856e-05, 5.6458955560683965e-05, 5.682460441263821e-05, 5.677510125844987e-05, 5.637838115572677e-05
12, 5.643474511952632e-05, 5.677644133986089e-05, 5.6818300148748504e-05, 5.682254347464774e-05, 5.6451114852339e-05, 5.630773515947271e-05, 5.680228530489613e-05, 5.673156410156877e-05, 5.647749880822791e-05
13, 5.642682157757633e-05, 5.6780025763462004e-05, 5.6839226913339155e-05, 5.682276632093995e-05, 5.648267673378772e-05, 5.640200250100591e-05, 5.682942463511506e-05, 5.678422402626177e-05, 5.645420873603487e-05
14, 5.647832209658955e-05, 5.6815009271292234e-05, 5.683931414877277e-05, 5.681933469216783e-05, 5.640920258684047e-05, 5.648554925358282e-05, 5.681566815421167e-05, 5.6760824176514415e-05, 5.6506375825407434e-05
15, 5.6435452324724115e-05, 5.678928957660358e-05, 5.6820357879695566e-05, 5.682351570922848e-05, 5.6394333898677054e-05, 5.649453105994273e-05, 5.678085031255027e-05, 5.6767032257912176e-05, 5.6465541310668147e-05
16, 5.640481910457874e-05, 5.679849051731809e-05, 5.6845400846310716e-05, 5.6838743976594395e-05, 5.6488590531842466e-05, 5.629355805003401e-05, 5.6816093042313044e-05, 5.677476211561604e-05, 5.6441598910029464e-05
17, 5.6445365789606815e-05, 5.68036155508569e-05, 5.682005138189177e-05, 5.681429683073986e-05, 5.649478773534916e-05, 5.6460915788009524e-05, 5.6797772109978965e-05, 5.675521556335601e-05, 5.636794797411113e-05
18, 5.644397552716198e-05, 5.6781360489949744e-05, 5.6835307571918374e-05, 5.6833058239299176e-05, 5.650950501718781e-05, 5.651847808280877e-05, 5.6819742879277935e-05, 5.678408077084306e-05, 5.6458216448817034e-05
19, 5.6428528618342685e-05, 5.6780282608747454e-05, 5.680623929079723e-05, 5.682152690469919e-05, 5.644694092922158e-05, 5.642566547995671e-05, 5.6829834740276664e-05, 5.673574574991738e-05, 5.6319512448703033e-05
20, 5.644527782527997e-05, 5.6785036334397824e-05, 5.681786668886041e-05, 5.684113678185095e-05, 5.645853098967492e-05, 5.639368350829258e-05, 5.6810022540023504e-05, 5.679812985805139e-05, 5.6423844548359955e-05
21, 5.632766618549022e-05, 5.6780068416634684e-05, 5.682187708367475e-05, 5.682331741920944e-05, 5.645311644366047e-05, 5.649647788214103e-05, 5.679033710932993e-05, 5.676945110520872e-05, 5.64459417111807e-05
22, 5.640830280212415e-05, 5.67888985258577e-05, 5.682194807052701e-05, 5.68189715857451e-05, 5.646331073151875e-05, 5.6532420850734375e-05, 5.678570990049868e-05, 5.6750889457456605e-05, 5.6488596549995287e-05
23, 5.6437458793635666e-05, 5.6783809384610774e-05, 5.681908684938462e-05, 5.681635025274178e-05, 5.650256972887616e-05, 5.6444371731249424e-05, 5.6812635978477e-05, 5.678011046053905e-05, 5.648185744658522e-05
24, 5.64465411874179e-05, 5.680015817271823e-05, 5.6834178204518536e-05, 5.681954148398247e-05, 5.652949125011192e-05, 5.648692456435685e-05, 5.67986020394999e-05, 5.678151422944233e-05, 5.64690738426228e-05
25, 5.642468622252728e-05, 5.6802695092662644e-05, 5.6827540174268884e-05, 5.680169165453021e-05, 5.649372483327892e-05, 5.650375834943599e-05, 5.680775361885e-05, 5.673771054922823e-05, 5.64738879995205e-05
26, 5.641641142425185e-05, 5.677663718818497e-05, 5.683566041455523e-05, 5.680300237122282e-05, 5.6478560611766845e-05, 5.646111537268944e-05, 5.676770646040981e-05, 5.67504334699266e-05, 5.648490346407667e-05
27, 5.6461823344159026e-05, 5.678047141974018e-05, 5.6819819491287105e-05, 5.6816156322208934e-05, 5.644628973905845e-05, 5.6514393822229454e-05, 5.680657683164969e-05, 5.67714373101959e-05, 5.64618843804763e-05
28, 5.646324529573004e-05, 5.6790614073008456e-05, 5.6824124200970136e-05, 5.680889857277714e-05, 5.650898559266156e-05, 5.65183638886373e-05, 5.680593712091685e-05, 5.6781629454004264e-05, 5.6469357117209804e-05
29, 5.646557515510176e-05, 5.6784410138791544e-05, 5.683784669263977e-05, 5.6823637420095745e-05, 5.657961193311218e-05, 5.6497997151989754e-05, 5.6793304517928136e-05, 5.676172179783572e-05, 5.643641582669235e-05
30, 5.647257858940185e-05, 5.680026109698644e-05, 5.681894504188944e-05, 5.683305356872461e-05, 5.651537673571821e-05, 5.6526555610532e-05, 5.684012917753541e-05, 5.675634077358209e-05, 5.651337941728688e-05
31, 5.64679110100536e-05, 5.678558062267891e-05, 5.6815835414568026e-05, 5.681590152488682e-05, 5.646484874417802e-05, 5.647085363289297e-05, 5.678365422040945e-05, 5.67629124798366e-05, 5.6490619928216186e-05
32, 5.6418821883100715e-05, 5.676575445424361e-05, 5.6833100310034845e-05, 5.6822835346882547e-05, 5.651741395054485e-05, 5.6625193814505014e-05, 5.680373922864903e-05, 5.675873771815958e-05, 5.6473178870753536e-05
33, 5.645652028745288e-05, 5.677512632693702e-05, 5.6806781478232384e-05, 5.682587091708939e-05, 5.649232523043871e-05, 5.649560188555515e-05, 5.678963255668971e-05, 5.67736992893077e-05, 5.6381114073224304e-05
34, 5.6451563795828354e-05, 5.678664061756627e-05, 5.683173340313516e-05, 5.683388879335895e-05, 5.6465845513482296e-05, 5.6477688513551085e-05, 5.678154415270476e-05, 5.677458084655628e-05, 5.644338492068049e-05
35, 5.645945968628611e-05, 5.681627978022925e-05, 5.683755521212831e-05, 5.6840553481704185e-05, 5.649175715405416e-05, 5.643407211453853e-05, 5.6793615597770964e-05, 5.676591160550867e-05, 5.644363050024986e-05
36, 5.6480926255254e-05, 5.677123093928318e-05, 5.682883516795944e-05, 5.6819181203011925e-05, 5.650176469978475e-05, 5.641611781142108e-05, 5.6817250137953165e-05, 5.6769567898654776e-05, 5.6454309635907604e-05
