rep, RING, TREE, NETA, NETB, TORUS, GRAPH, SAME, GOODBAD, RAND
11, 1.611942918664379e-05, 1.611924137209787e-05, 1.611916477589397e-05, 1.6119243182333282e-05, 1.6119077516167617e-05, 1.611924137209787e-05, 1.611938722323947e-05, 1.6119243182333282e-05, 1.611924137209787e-05
12, 1.611926337270861e-05, 1.611924137209787e-05, 1.611916477589397e-05, 1.611916477589397e-05, 1.6119077516167617e-05, 1.611942918664379e-05, 1.611899871848889e-05, 1.611926337270861e-05, 1.6118998848399954e-05
13, 1.6119243182333282e-05, 1.611947415060904e-05, 1.611919930625963e-05, 1.611947415060904e-05, 1.611942918664379e-05, 1.6119499375408022e-05, 1.611930768071211e-05, 1.611942918664379e-05, 1.6119243182333282e-05
14, 1.6119077516167617e-05, 1.611947415060904e-05, 1.611930768071211e-05, 1.611916477589397e-05, 1.611942918664379e-05, 1.6119243182333282e-05, 1.611926337270861e-05, 1.611942918664379e-05, 1.6119077516167617e-05
15, 1.6118889908837546e-05, 1.6119077516167617e-05, 1.6119077516167617e-05, 1.611924137209787e-05, 1.6119024175120916e-05, 1.6119077516167617e-05, 1.6119077516167617e-05, 1.6119077516167617e-05, 1.6118626787809376e-05
16, 1.611947415060904e-05, 1.6119398097326676e-05, 1.611916477589397e-05, 1.611947415060904e-05, 1.6119518522132637e-05, 1.611947415060904e-05, 1.6119482761106955e-05, 1.611926337270861e-05, 1.611942918664379e-05
17, 1.611916477589397e-05, 1.611916477589397e-05, 1.61192691245818e-05, 1.611942918664379e-05, 1.6119361313090042e-05, 1.6119361313090042e-05, 1.611916477589397e-05, 1.611916477589397e-05, 1.611916477589397e-05
18, 1.6119218083833604e-05, 1.6119243182333282e-05, 1.611924137209787e-05, 1.611916477589397e-05, 1.611926337270861e-05, 1.611916477589397e-05, 1.611924137209787e-05, 1.611924137209787e-05, 1.6119218083833604e-05
19, 1.6118998848399954e-05, 1.611930768071211e-05, 1.6119218083833604e-05, 1.6119398097326676e-05, 1.611947415060904e-05, 1.6119077516167617e-05, 1.6119243182333282e-05, 1.611930768071211e-05, 1.6119077516167617e-05
20, 1.611919930625963e-05, 1.611942918664379e-05, 1.611926337270861e-05, 1.611947415060904e-05, 1.611930768071211e-05, 1.6119361219809705e-05, 1.611926337270861e-05, 1.6119361313090042e-05, 1.611919930625963e-05
21, 1.6119243182333282e-05, 1.611924137209787e-05, 1.611919930625963e-05, 1.6119077516167617e-05, 1.611947415060904e-05, 1.611919930625963e-05, 1.6119398097326676e-05, 1.6119247789380343e-05, 1.6119243182333282e-05
22, 1.611947415060904e-05, 1.611930768071211e-05, 1.611930768071211e-05, 1.6119243182333282e-05, 1.611947415060904e-05, 1.6119482761106955e-05, 1.611930768071211e-05, 1.611924137209787e-05, 1.611947415060904e-05
