rep, RING, TREE, NETA, NETB, TORUS, GRAPH, SAME, GOODBAD, RAND, SSO
1, 0.6456953428577701, 0.6458454698461209, 0.6359098279863916, 0.6339976149009727, 0.6430520795018148, 0.6337938902268981, 0.6405005127206604, 0.652622662060891, 0.6238704046485831, 0.022613789536083985
2, 0.638940483332918, 0.6508895381873637, 0.6388861913694143, 0.6309331374916874, 0.6404426739762523, 0.6436580373579125, 0.6456186382353435, 0.6354564356485977, 0.6304077161904461, 0.021595813107414635
3, 0.640291358179626, 0.6333190414336316, 0.6289826394501685, 0.6298304055666931, 0.6450576649299564, 0.6362055681983739, 0.6329802991211702, 0.6344895848534646, 0.6280720574510072, 0.023063699238844878
4, 0.6349355508669093, 0.6418345170901277, 0.6399827972624096, 0.651726488641059, 0.6201827306397557, 0.6126617580206614, 0.6375513946117982, 0.63914017750201, 0.6312382116263979, 0.023803099239690925
5, 0.6257884935018122, 0.6293202837479296, 0.6427007829380939, 0.6225882487713221, 0.629287809814121, 0.6231150768924004, 0.6300339714317397, 0.6252841134690575, 0.6258554661903489, 0.022890869086410078
6, 0.6285185252692731, 0.6351795462023251, 0.6342296266417033, 0.6353203825391087, 0.6373665035858239, 0.6330548314111678, 0.6457207761305441, 0.6386450506605187, 0.6188383043582926, 0.021217252443888005
7, 0.6225742949034824, 0.6342264086802764, 0.6285777861867518, 0.6350190124692333, 0.631495722879469, 0.6439859121641854, 0.6302213841678305, 0.616829324559553, 0.6437806922445027, 0.023723097177492325
8, 0.6360615071477411, 0.635077085656657, 0.6147120258572466, 0.6363411908743583, 0.6275951057623272, 0.6166646213956724, 0.6345225978878012, 0.6481112418135448, 0.6315387947966256, 0.02491471630322615
9, 0.6254405446836615, 0.6345129351806966, 0.631813316855642, 0.6281738483688838, 0.6251359670728384, 0.6305953513771887, 0.6240206775491712, 0.6264141298982453, 0.6211650820745424, 0.022250905617421355
10, 0.6284845540493574, 0.6386899192376597, 0.6429338356789703, 0.6449245406041266, 0.6325086685313023, 0.6296535331433879, 0.6414886642538139, 0.6286252029673625, 0.6177671055078262, 0.020769698007552486
